Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
SMS DE AGUA BRANCA,6585701,,PREFEITURA MUNICIPLA DE SAUDE,--,JURÍDICA,AVENIDA GETULIO VARGAS,S/N,,,CENTRO,57490000,AGUA BRANCA - IBGE - 270010,AL,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700106585701&VEstado=27&VCodMunicipio=270010,2700106585701,27,270010,53ff7c729f2a304f5f0dfc2b
UNIDADE AUTORIZADORA DE TFD INTERMUNICIPAL,3953076,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,AV GETULIO VARGAS,01,82 36441137,,CENTRO,57490000,AGUA BRANCA - IBGE - 270010,AL,CENTRAL DE REGULACAO DE SERVICOS DE SAUDE,,MUNICIPAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700103953076&VEstado=27&VCodMunicipio=270010,2700103953076,27,270010,53ff7c729f2a304f5f0dfc2c
POSTO DE SAUDE VARZEA DO PICO,2008653,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,POVOADO VARZEA DO PICO,S/N,,,ZONA RURAL,57490000,AGUA BRANCA - IBGE - 270010,AL,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700102008653&VEstado=27&VCodMunicipio=270010,2700102008653,27,270010,53ff7c739f2a304f5f0dfc2e
POSTO DE SAUDE TABULEIRO,2008572,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,POVOADO TABULEIRO,S/N,,,ZONA RURAL,57490000,AGUA BRANCA - IBGE - 270010,AL,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700102008572&VEstado=27&VCodMunicipio=270010,2700102008572,27,270010,53ff7c739f2a304f5f0dfc2f
POSTO DE SAUDE QUIXABEIRA,2008599,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,POVOADO QUIXABEIRA,S/N,,,ZONA RURAL,57490000,AGUA BRANCA - IBGE - 270010,AL,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700102008599&VEstado=27&VCodMunicipio=270010,2700102008599,27,270010,53ff7c739f2a304f5f0dfc30
POSTO DE SAUDE PSICOSOCIAL,2008602,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,RUA CORONEL ULISSES LUNA,16,,,CENTRO,57490000,AGUA BRANCA - IBGE - 270010,AL,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700102008602&VEstado=27&VCodMunicipio=270010,2700102008602,27,270010,53ff7c739f2a304f5f0dfc31
POSTO DE SAUDE INDIGENA,6352219,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,SITIO JANUARIA,S/N,,ALDEIA KALANKO,ZONA RURAL,57490000,AGUA BRANCA - IBGE - 270010,AL,UNIDADE DE ATENCAO A SAUDE INDIGENA,POLO-BASE TIPO I,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700106352219&VEstado=27&VCodMunicipio=270010,2700106352219,27,270010,53ff7c739f2a304f5f0dfc32
POSTO DE SAUDE DO ESTREITO,2008629,,PREFEITURA MUNUCIPAL DE AGUA BRANCA,--,JURÍDICA,SITIO ESTREITO,S/N,,,ZONA RURAL,57490000,AGUA BRANCA - IBGE - 270010,AL,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700102008629&VEstado=27&VCodMunicipio=270010,2700102008629,27,270010,53ff7c749f2a304f5f0dfc33
POSTO DE SAUDE DA SERRA DO CAVALO,2008610,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,POVOADO SERRA DO CAVALO,S/N,,,ZONA RURAL,57490000,AGUA BRANCA - IBGE - 270010,AL,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700102008610&VEstado=27&VCodMunicipio=270010,2700102008610,27,270010,53ff7c749f2a304f5f0dfc34
POSTO DE SAUDE DE TINGUI,2008645,,PREFEITURA MUNICIPAL DE AGUA BRANCA,--,JURÍDICA,POVOADO TINGUI,S/N,,,ZONA RURAL,57490000,AGUA BRANCA - IBGE - 270010,AL,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2700102008645&VEstado=27&VCodMunicipio=270010,2700102008645,27,270010,53ff7c749f2a304f5f0dfc35
