Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
SES AP UNID MISTA DE SAUDE DE AMAPA,2019701,23086176000960,SECRETARIA DE ESTADO DA SAUDE DO AMAPA,--,JURÍDICA,AVN GUARANI,742,(96)4211499,,NOVA ESPERANCA,68950000,AMAPA - IBGE - 160010,AP,UNIDADE MISTA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600102019701&VEstado=16&VCodMunicipio=160010,1600102019701,16,160010,53ff819c44a9db4862695c7d
PM APA UBS PIQUIA,6630227,,PREFEITURA MUNICIPAL DE AMAPA,--,JURÍDICA,COMUNIDADE DO PIQUIA,S/N,,,COMUNIDADE DO PIQUIA,68950000,AMAPA - IBGE - 160010,AP,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600106630227&VEstado=16&VCodMunicipio=160010,1600106630227,16,160010,53ff819c44a9db4862695c7e
PM APA UBS NOVA BRASILIA,5363454,,PREFEITURA MUNICIPAL DE AMAPA,--,JURÍDICA,RUA CONEGO DOMINGO MALTEZ,S/N,34211104,,NOVA BRASILIA,68950000,AMAPA - IBGE - 160010,AP,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600105363454&VEstado=16&VCodMunicipio=160010,1600105363454,16,160010,53ff819e44a9db4862695c83
PM APA P S VISTA ALEGRE,6630081,,PREFEITURA MUNICIPAL DE AMAPA,--,JURÍDICA,COMUNIDADE DO VISTA ALEGRE,S/N,,,ZONA RURAL,68950000,AMAPA - IBGE - 160010,AP,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600106630081&VEstado=16&VCodMunicipio=160010,1600106630081,16,160010,53ff81a044a9db4862695c84
PM APA P S CRUZEIRO,6630170,,PREFEITURA MUNICIPAL DE AMAPA,--,JURÍDICA,COMUNIDADE DO CRUZEIRO,S/N,,,ZONA RURAL,68950000,AMAPA - IBGE - 160010,AP,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600106630170&VEstado=16&VCodMunicipio=160010,1600106630170,16,160010,53ff81a044a9db4862695c85
PM APA PS CALAFATE,2021900,,POSTO DE SAUDE DO CALAFATE,--,JURÍDICA,COMUNIDADE DO CALAFATE,S/N,(96)4211104,,CALAFATE,68950000,AMAPA - IBGE - 160010,AP,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600102021900&VEstado=16&VCodMunicipio=160010,1600102021900,16,160010,53ff81a044a9db4862695c86
PM APA P S AMAPA GRANDE,6630200,,PREFEITURA MUNICIPAL DE AMAPA,--,JURÍDICA,COMUNIDADE DO AMAPA GRANDE,S/N,,,ZONA RURAL,68950000,AMAPA - IBGE - 160010,AP,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600106630200&VEstado=16&VCodMunicipio=160010,1600106630200,16,160010,53ff81a144a9db4862695c87
PM APA DIVISAO VIGILANCIA SANITARIA E ZOONOSE,6630162,,PREFEITURA MUNICIPAL DE AMAPA,--,JURÍDICA,RUA GUARANY,S/N,,CASA,SETE MANGUEIRAS,68950000,AMAPA - IBGE - 160010,AP,UNIDADE DE VIGILANCIA EM SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600106630162&VEstado=16&VCodMunicipio=160010,1600106630162,16,160010,53ff81a144a9db4862695c88
PM APA P S BASE AEREA,6630189,,PREFEITURA MUNICIPAL DE AMAPA,--,JURÍDICA,COMUNIDADE DA BASE AEREA,S/N,,,ZONA RURAL,68950000,AMAPA - IBGE - 160010,AP,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600106630189&VEstado=16&VCodMunicipio=160010,1600106630189,16,160010,53ff81a144a9db4862695c89
SES AP UNID MISTA DE SAUDE DE CALCOENE,2019728,23086176001347,SECRETARIA DE ESTADO DA SAUDE DO AMAPA,--,JURÍDICA,AVENIDA FAB,745,34231192,,LIBERDADE,68960000,CALCOENE - IBGE - 160020,AP,UNIDADE MISTA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600202019728&VEstado=16&VCodMunicipio=160020,1600202019728,16,160020,53ff81a144a9db4862695c8a
SECRETARIA MUNICIPAL DE SAUDE DE CALCOENE,7525117,11694812000109,FUNDO MUNICIPAL DE SAUDE,--,JURÍDICA,AV TEODORO ANTONIO LEAL,264,,,CENTRO,68960000,CALCOENE - IBGE - 160020,AP,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600207525117&VEstado=16&VCodMunicipio=160020,1600207525117,16,160020,53ff81a244a9db4862695c8b
PMC UNIDADE MOVEL ODONTOLOGICA UOM,7079737,,PREFEITURA MUNICIPAL DE CALCOENE,--,JURÍDICA,AV TEODORO ANTONIO LEAL,100,,,CENTRO,68960000,CALCOENE - IBGE - 160020,AP,UNIDADE MOVEL TERRESTRE,UNIDADE MOVEL ODONTOLOGICA,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SES,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1600207079737&VEstado=16&VCodMunicipio=160020,1600207079737,16,160020,53ff81a244a9db4862695c8c
