Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE DE SAUDE MILTON REIS,2778505,,PM DE BAIXA GRANDE DO RIBEIRO,--,JURÍDICA,AVENIDA SEBASTIAO LEAL,S/N,(86)39701328,,CENTRO,64868000,BAIXA GRANDE DO RIBEIRO - IBGE - 220115,PI,UNIDADE MISTA,,MUNICIPAL,DUPLA,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,133.04,SES,01/01/2002,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2201152778505&VEstado=22&VCodMunicipio=220115,2201152778505,22,220115,540805f7dcccee9733929b00
SECRETARIA DA SAUDE DE BAIXA GRANDE DO RIBEIRO,6616275,,SECRETARIA MUNICIPAL DA SAUDE BAIXA GRANDE DO RIBEIRO,--,JURÍDICA,RUA MODESTO MARQUES,2353,8935701407,,CENTRO,64868000,BAIXA GRANDE DO RIBEIRO - IBGE - 220115,PI,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2201156616275&VEstado=22&VCodMunicipio=220115,2201156616275,22,220115,540805f7dcccee9733929b01
PS NOEME SOARES BARBOSA PSF,5011914,,PREFEITURA MUNICIPAL DE BAIXA GRANDE DO RIBEIRO,--,JURÍDICA,RUA SEBASTIAO LEAL,S/N,(89) 35701285,,FATIMA,64868000,BAIXA GRANDE DO RIBEIRO - IBGE - 220115,PI,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2201155011914&VEstado=22&VCodMunicipio=220115,2201155011914,22,220115,540805f95a51e8a733bbf458
PS MARIANO FERREIRA DE CARVALHO PSF,5386365,,PREFEITURA MUNICIPAL DE BAIXA GRANDE DO RIBEIRO,--,JURÍDICA,RUA EZEQUIEL GOMES,S/N,,,CENTRO,64868000,BAIXA GRANDE DO RIBEIRO - IBGE - 220115,PI,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2201155386365&VEstado=22&VCodMunicipio=220115,2201155386365,22,220115,540805fa5a51e8a733bbf459
PS ISIDORIO PEREIRA PSF,2404540,,PREFEITURA MUNICIPAL DE BAIXA GRANDE DO RIBEIRO,--,JURÍDICA,ALMECEGAS,S/N,( )5701328,,ZONA RURAL,64868000,BAIXA GRANDE DO RIBEIRO - IBGE - 220115,PI,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2201152404540&VEstado=22&VCodMunicipio=220115,2201152404540,22,220115,540805fa5a51e8a733bbf45a
PS POVOADO FORMOSA PSF,7497377,,PREFEITURA MUNICIPAL DE BAIXA GRANDE DO RIBEIRO,--,JURÍDICA,POVOADO FORMOSA,S/N,,,ZONA RURAL,64868000,BAIXA GRANDE DO RIBEIRO - IBGE - 220115,PI,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2201157497377&VEstado=22&VCodMunicipio=220115,2201157497377,22,220115,540805fa5a51e8a733bbf45b
PS MARIA DO SOCORRO REIS DOS SANTOS PSF,7497369,,PREFEITURA MUNICIPAL DE BAIXA GRANDE DO RIBEIRO,--,JURÍDICA,RUA MARTINS DOS SANTOS,S/N,,,CENTRO,64868000,BAIXA GRANDE DO RIBEIRO - IBGE - 220115,PI,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2201157497369&VEstado=22&VCodMunicipio=220115,2201157497369,22,220115,540805fa5a51e8a733bbf45c
SMS DE LAGOA DO BARRO DO PIAUI,6562183,,SECRETARIA MUNICIPAL DA SAUDE DE LAGOA DO BARRO,--,JURÍDICA,RUA DELMIRO DANTAS,01,8934980035,,CENTRO,64768000,LAGOA DO BARRO DO PIAUI - IBGE - 220556,PI,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,42,SMS,01/06/2011,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2205566562183&VEstado=22&VCodMunicipio=220556,2205566562183,22,220556,5408063ae24eb0b733455ddb
PS JOAO BOSCO SIQUEIRA DIAS,2369125,,SMS DE LAGOA DO BARRO DO PIAUI,--,JURÍDICA,LOC SANTA TEREZA,01,( )4871377,,ZONA RURAL,64768000,LAGOA DO BARRO DO PIAUI - IBGE - 220556,PI,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,000029,SMS,06/11/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2205562369125&VEstado=22&VCodMunicipio=220556,2205562369125,22,220556,5408063be24eb0b733455ddd
PS AMBROSINA ALVES COELHO,5517605,,SMS DE LAGOA DO BARRO DO PIAUI,--,JURÍDICA,POVOADO SETE LAGOAS,S/N,(89)34980035,,ZONA RURAL,64768000,LAGOA DO BARRO DO PIAUI - IBGE - 220556,PI,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,000033,SMS,30/06/2010,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2205565517605&VEstado=22&VCodMunicipio=220556,2205565517605,22,220556,5408063be24eb0b733455dde
