Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE BASICA DE SAUDE SAO SEBASTIAO,5091209,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,RUA PROFESSOR CAMARA CASCUDO,76,,,SAO SEBASTIAO,59700000,APODI - IBGE - 240100,RN,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401005091209&VEstado=24&VCodMunicipio=240100,2401005091209,24,240100,540805fa5a51e8a733bbf45d
UNIDADE BASICA DE SAUDE DO CAIC,3911160,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,RUA FRANCISCO VIRGINIO DE OLIVEIRA,35,,CAIC,LAGOA SECA,59700000,APODI - IBGE - 240100,RN,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401003911160&VEstado=24&VCodMunicipio=240100,2401003911160,24,240100,540805fa5a51e8a733bbf45e
SECRETARIA MUNICIPAL DE SAUDE DE APODI,6389945,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,AV MARECHAL FLORIANO,117,(84)3333-3580,,CENTRO,59700000,APODI - IBGE - 240100,RN,CENTRAL DE REGULACAO DE SERVICOS DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401006389945&VEstado=24&VCodMunicipio=240100,2401006389945,24,240100,540805fa5a51e8a733bbf45f
SAMU 192 APODI,7172265,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,RUA DEP DALTON CUNHA,S/N,,,PORTAL DA CHAPADA,59700000,APODI - IBGE - 240100,RN,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401007172265&VEstado=24&VCodMunicipio=240100,2401007172265,24,240100,540805fb5a51e8a733bbf460
VITANALISES,7219547,17368398000116,E R LABORATORIO DE ANALISES CLINICAS LTDA,--,JURÍDICA,RUA JOAO NOGUEIRA,182,8433333078,,CENTRO,59700000,APODI - IBGE - 240100,RN,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,001/2013,SMS,09/05/2012,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401007219547&VEstado=24&VCodMunicipio=240100,2401007219547,24,240100,540805fb5a51e8a733bbf461
PRODONT,7287119,02603149000190,PRODONT PRESTACOES DE SERVICOS ODONTOLOGICOS LTDA ME,--,JURÍDICA,RUA BORROMEU DE BRITO GUERRA,92,8433332534,,SAO SEBASTIAO,59700000,APODI - IBGE - 240100,RN,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),LABORATORIO REGIONAL DE PROTESE DENTARIA (LRPD),PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,006/13,SMS,18/07/2013,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401007287119&VEstado=24&VCodMunicipio=240100,2401007287119,24,240100,540805fb5a51e8a733bbf462
POSTO DE SAUDE SANTA ROSA,4012275,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,SITIO SANTA ROSA,S/N,,,ZONA RURAL,59700000,APODI - IBGE - 240100,RN,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401004012275&VEstado=24&VCodMunicipio=240100,2401004012275,24,240100,540805fb5a51e8a733bbf463
POSTO DE SAUDE DO BAMBURRAL,3911330,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,SITIO BAMBURRAL,S/N,,,ZONA RURAL,59700000,APODI - IBGE - 240100,RN,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401003911330&VEstado=24&VCodMunicipio=240100,2401003911330,24,240100,540805fb5a51e8a733bbf464
POSTO DE SAUDE DO ARCAO,3911063,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,SITIO ARCAO,S/N,,,ZONA RURAL,59700000,APODI - IBGE - 240100,RN,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401003911063&VEstado=24&VCodMunicipio=240100,2401003911063,24,240100,540805fc5a51e8a733bbf465
POSTO DE SAUDE MELANCIAS,2559846,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,SITIO MELANCIAS,S/N,,,ZONA RUAL,59700000,APODI - IBGE - 240100,RN,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401002559846&VEstado=24&VCodMunicipio=240100,2401002559846,24,240100,540805fc5a51e8a733bbf466
POSTO DE SAUDE DE GOES,2559854,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,SITIO GOES,S/N,,,ZONA RURAL,59700000,APODI - IBGE - 240100,RN,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401002559854&VEstado=24&VCodMunicipio=240100,2401002559854,24,240100,540805fc5a51e8a733bbf467
POSTO DE SAUDE CORREGO,2559862,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,SITIO CORREGO,S/N,,,ZONA RURAL,59700000,APODI - IBGE - 240100,RN,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401002559862&VEstado=24&VCodMunicipio=240100,2401002559862,24,240100,540805fc5a51e8a733bbf468
POSTO DE SAUDE DE SOLEDADE,2559838,,PREFEITURA MUNICIPAL DE APODI,--,JURÍDICA,SITIO SOLEDADE,S/N,(84)3333-1080,,ZONA RURAL,59700000,APODI - IBGE - 240100,RN,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401002559838&VEstado=24&VCodMunicipio=240100,2401002559838,24,240100,540805fd5a51e8a733bbf469
POLICLINICA CAVALCANTI,6526403,06191298000140,FRANCISCO ALVES CAVALCANTI JUNIOR,--,JURÍDICA,R GOV DIX SEPT ROSADO,103,8433333240,,CENTRO,59700000,APODI - IBGE - 240100,RN,POLICLINICA,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,1275,SMS,13/04/2010,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401006526403&VEstado=24&VCodMunicipio=240100,2401006526403,24,240100,540805fd5a51e8a733bbf46a
MATERNIDADE CLAUDINA PINTO,2410478,08041907000100,APAMI DE APODI,--,JURÍDICA,PRACA DA REDENCAO,291,(84)3332009,,CENTRO,59700000,APODI - IBGE - 240100,RN,HOSPITAL GERAL,,PRIVADA,MUNICIPAL,ENTIDADE BENEFICENTE SEM FINS LUCRATIVOS,INDIVIDUAL,535/04,SES,14/03/2004,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401002410478&VEstado=24&VCodMunicipio=240100,2401002410478,24,240100,540805fd5a51e8a733bbf46b
LABORATORIO DE ANALISES CLINICAS DR CARLOS PIRES,7354819,10854933000280,CENTRO DE PATOLOGIA DR CARLOS PIRES LTDA ME,--,JURÍDICA,RUA MARGARIDA DE FREITAS,09,8491855151,LOJA 02 E 03,CENTRO,59700000,APODI - IBGE - 240100,RN,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,005/13,SMS,15/07/2013,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2401007354819&VEstado=24&VCodMunicipio=240100,2401007354819,24,240100,540805fd5a51e8a733bbf46c
