Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNILAB,3039854,,UNILAB LABORATORIO DE ANALISES CLINICAS,--,FÍSICA,QUADRA 04 LOTE 37 LOJAS,S/N,(61)4795183,,BRAZLANDIA,72705030,BRAZLANDIA - IBGE - 530020,DF,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,IV/08/02,SES,23/05/2002,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300203039854&VEstado=53&VCodMunicipio=530020,5300203039854,53,530020,53ff9bb12a2a7d44711e626b
VANIA ROSIMEIRE SILVA RAMOS,2642980,,VANIA ROSIMEIRE SILVA RAMOS,--,FÍSICA,QUADRA 10 CASA,107,(61)3913899,,BRAZLANDIA,72710100,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,IV/17/02,SES,30/07/2002,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300202642980&VEstado=53&VCodMunicipio=530020,5300202642980,53,530020,53ff9bb12a2a7d44711e626c
SUBLIME ODONTOLOGIA,6017509,08824003000151,JUCELINO KUBITSCHEK LIVRAMENTO CORADO ME,--,JURÍDICA,QUADRA 36 CONJUNTO E LOTE 15 SOBRE LOJA,02,34794241,VILA SAO JOSE,BRAZLANDIA,72736005,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,00146/2008,SMS,22/09/2008,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300206017509&VEstado=53&VCodMunicipio=530020,5300206017509,53,530020,53ff9bb32a2a7d44711e626e
SHOPPING DO DENTE,5431719,03318196000406,E C ODONTOLOGIA LTDA,--,JURÍDICA,QUADRA 37 CONJUNTO A LOTE,02,61 34794470,LOJA 03,VILA SAO JOSE,72737000,BRAZLANDIA - IBGE - 530020,DF,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300205431719&VEstado=53&VCodMunicipio=530020,5300205431719,53,530020,53ff9bb32a2a7d44711e626f
SERGIO DOS SANTOS SILVA,5431700,,SERGIO DOS SANTOS SILVA,--,FÍSICA,QD 4 NORTE LT 37 SL 104,1,6133911720,,SETOR NORTE,72710040,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,SERVIÇO SOCIAL AUTONOMO,INDIVIDUAL,00002,SES,12/01/2007,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300205431700&VEstado=53&VCodMunicipio=530020,5300205431700,53,530020,53ff9bb32a2a7d44711e6270
PSU VEREDAS II,3742865,,PSU VEREDAS II,--,JURÍDICA,QD 04 LT 06 LJS 1 E 2,2,,SETOR VEREDAS,BRAZLANDIA,72725400,BRAZLANDIA - IBGE - 530020,DF,POSTO DE SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300203742865&VEstado=53&VCodMunicipio=530020,5300203742865,53,530020,53ff9bb42a2a7d44711e6271
PSU BRAZLANDIA,0011487,,POSTO DE SAUDE VILA SAO JOSE,--,JURÍDICA,AREA ESPECIAL ENTEQUADRA 3637,01,,VILA SAO JOSE,VILA SAO JOSE,72720660,BRAZLANDIA - IBGE - 530020,DF,POSTO DE SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300200011487&VEstado=53&VCodMunicipio=530020,5300200011487,53,530020,53ff9bb52a2a7d44711e6272
PSR INCRA 8,0011509,,PSR INCRA 8,--,JURÍDICA,QUADRA 16 LOTE,02,,AREA ESPECIAL,BRAZLANDIA,72720660,BRAZLANDIA - IBGE - 530020,DF,POSTO DE SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300200011509&VEstado=53&VCodMunicipio=530020,5300200011509,53,530020,53ff9bb52a2a7d44711e6273
PSR CHAPADINHA,3144631,,PSR CHAPADINHA,--,JURÍDICA,GLEBA 02 RESERVA A,02,,,BRAZLANDIA,72710990,BRAZLANDIA - IBGE - 530020,DF,POSTO DE SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300203144631&VEstado=53&VCodMunicipio=530020,5300203144631,53,530020,53ff9bb62a2a7d44711e6275
PSR ALMECEGAS,0011495,,PSR ALMECEGAS,--,JURÍDICA,PSR ALMECEGAS,1,(61) 3515865,,BRAZLANDIA,72720660,BRAZLANDIA - IBGE - 530020,DF,POSTO DE SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300200011495&VEstado=53&VCodMunicipio=530020,5300200011495,53,530020,53ff9bb62a2a7d44711e6276
