Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE BASICA DE SAUDE TROPICAL PLANALTO VILA ILDEMAR,5600251,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,CONJUNTO COHAB,21,,,VILA ILDEMAR,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100055600251&VEstado=21&VCodMunicipio=210005,2100055600251,21,210005,5407c2f6e65f008c21207f46
VIGILANCIA SANITARIA,8005524,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,RUA BONAIRE,297,(99)5381617,,CENTRO,65930000,ACAILANDIA - IBGE - 210005,MA,UNIDADE DE VIGILANCIA EM SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100058005524&VEstado=21&VCodMunicipio=210005,2100058005524,21,210005,5407c2f6e65f008c21207f47
UNIDADE BASICA DE SAUDE SUDELANDIA,2463008,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,RUA SANTO ANTONIO,S/N,,,50 BIS,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100052463008&VEstado=21&VCodMunicipio=210005,2100052463008,21,210005,5407c2f7e65f008c21207f4b
UNIDADE BASICA DE SAUDE SAO FRANCISCO,3811425,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,RUA IMPERATRIZ,512,,,VILA SAO FRANCISCO,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100053811425&VEstado=21&VCodMunicipio=210005,2100053811425,21,210005,5407c2f7e65f008c21207f4c
UNIDADE BASICA DE SAUDE PRIMAVERA VILA ILDEMAR,3563383,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,QUADRA 190,331,,,VILA ILDEMAR,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100053563383&VEstado=21&VCodMunicipio=210005,2100053563383,21,210005,5407c2f7e65f008c21207f4d
UNIDADE BASICA DE SAUDE PLANO DA SERRA,5138035,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,RUA PRINCIPAL,S/N,,,PLANO DA SERRA,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100055138035&VEstado=21&VCodMunicipio=210005,2100055138035,21,210005,5407c2f7e65f008c21207f4e
UNIDADE BASICA DE SAUDE PLANALTO I,5728908,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,BR 222,S/N,,ASSENTAMENTO,PLANALTO I,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100055728908&VEstado=21&VCodMunicipio=210005,2100055728908,21,210005,5407c2f9e65f008c21207f4f
UNIDADE BASICA DE SAUDE PEQUIA XI XII,3563472,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,AVENIDA CASTELO BRANCO,S/N,,,PEQUIA,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100053563472&VEstado=21&VCodMunicipio=210005,2100053563472,21,210005,5407c2f9e65f008c21207f50
UNIDADE BASICA DE SAUDE NOVA CONQUISTA,5097142,,PREFEITURA MUNICIPAL DE ACALANDIA,--,JURÍDICA,RUA DO CAMPO,S/N,,ASSENTAMENTO,NOVA CONQUISTA,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100055097142&VEstado=21&VCodMunicipio=210005,2100055097142,21,210005,5407c2f9e65f008c21207f51
UNIDADE BASICA DE SAUDE NOVO BACABAL,2463032,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,BR 222,S/N,,,NOVO BACABAL,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100052463032&VEstado=21&VCodMunicipio=210005,2100052463032,21,210005,5407c2f9e65f008c21207f52
UNIDADE BASICA DE SAUDE MACAUBA,5728932,,PREFEITURA MUNICIPAL DE ACAILANDIA,--,JURÍDICA,RUA PEDRO I,S/N,,ASSENTAMENTO,MACAUBA,65930000,ACAILANDIA - IBGE - 210005,MA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2100055728932&VEstado=21&VCodMunicipio=210005,2100055728932,21,210005,5407c2f9e65f008c21207f53
