Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE MOVEL ODONTOLOGICA TOBIAS BARRETO,7369123,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,PRACA DOM JOSE TOMAZ,307,(79)35411301,,CENTRO,49300000,TOBIAS BARRETO - IBGE - 280740,SE,UNIDADE MOVEL TERRESTRE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807407369123&VEstado=28&VCodMunicipio=280740,2807407369123,28,280740,53ff394a530f2f0f31dc7219
VIGILANCIA SANITARIA DE TOBIAS BARRETO,3865959,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,RUA GETULIO VARGAS,S/N,35411220,,CENTRO,49300000,TOBIAS BARRETO - IBGE - 280740,SE,UNIDADE DE VIGILANCIA EM SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807403865959&VEstado=28&VCodMunicipio=280740,2807403865959,28,280740,53ff394b530f2f0f31dc721b
UNIDADE DE SAUDE DA FAMILIA POV SAQUINHO,2422018,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,POVOADO SAQUINHO,S/N,(79)35411220,PREDIO,ZONA RURAL,49300000,TOBIAS BARRETO - IBGE - 280740,SE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807402422018&VEstado=28&VCodMunicipio=280740,2807402422018,28,280740,53ff394b530f2f0f31dc721c
UNIDADE DE SAUDE DA FAMILIA POV JABEBERI,2422026,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,POVOADO JABEBERI,S/N,(79)35411220,,ZONA RURAL,49300000,TOBIAS BARRETO - IBGE - 280740,SE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807402422026&VEstado=28&VCodMunicipio=280740,2807402422026,28,280740,53ff394c530f2f0f31dc721d
UNIDADE DE SAUDE DA FAMILIA POV SAMAMBAIA,2422042,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,POVOADO SAMAMBAIA,S/N,(79)35411220,,ZONA RURAL,49300000,TOBIAS BARRETO - IBGE - 280740,SE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807402422042&VEstado=28&VCodMunicipio=280740,2807402422042,28,280740,53ff394c530f2f0f31dc721e
UNIDADE DE SAUDE DA FAMILIA POV MONTE COELHOS,2421992,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,POVOADO MONTE COELHOS,S/N,(79)35411220,,ZONA RURAL,49300000,TOBIAS BARRETO - IBGE - 280740,SE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807402421992&VEstado=28&VCodMunicipio=280740,2807402421992,28,280740,53ff394d530f2f0f31dc721f
UNIDADE DE SAUDE DA FAMILIA POV RIACHO FUNDO,3302504,,PREFEITURA MUN DE TOBIAS BARRETO,--,JURÍDICA,POVOADO RICAHO FUNDO,S/N,(79)35411220,,ZONA RURAL,49300000,TOBIAS BARRETO - IBGE - 280740,SE,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807403302504&VEstado=28&VCodMunicipio=280740,2807403302504,28,280740,53ff394d530f2f0f31dc7220
UNIDADE DE SAUDE DA FAMILIA POV CAPITOA,2421984,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,POVOADO CAPITOA,S/N,(79)35411220,,ZONA RURAL,49300000,TOBIAS BARRETO - IBGE - 280740,SE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807402421984&VEstado=28&VCodMunicipio=280740,2807402421984,28,280740,53ff394e530f2f0f31dc7221
UNIDADE DE SAUDE DA FAMILIA CONJ MARIA DO CARMO,3555585,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,RUA JOSE ROSA DE OLIVEIRA,S/N,(79)35411301,PREDIO,CENTRO,49300000,TOBIAS BARRETO - IBGE - 280740,SE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807403555585&VEstado=28&VCodMunicipio=280740,2807403555585,28,280740,53ff394f530f2f0f31dc7222
UNIDADE DE SAUDE DA FAMILIA CONJUNTO IRMA DULCE,2422034,,PREFEITURA MUNICIPAL DE TOBIAS BARRETO,--,JURÍDICA,RODOVIA GOV ANTONIO CARLOS VALADARES,S/N,(79)5411192,,CENTRO,49300000,TOBIAS BARRETO - IBGE - 280740,SE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2807402422034&VEstado=28&VCodMunicipio=280740,2807402422034,28,280740,53ff394f530f2f0f31dc7223
